from,to,tempo_min,transferencia,escada,calcada_ruim,risco_alag,modo
2390116092,4479246532,1.6,0,0,0,0,pe
4479246532,2390116118,1.6,0,0,0,0,pe
2390116118,4479246587,1.6,0,0,0,0,pe
4479246587,2390116084,1.6,0,0,0,0,pe
2390116084,461995021,1.6,0,0,0,0,pe
461995021,10568948513,1.6,0,0,0,0,pe
10568948513,7288871400,1.6,0,0,0,0,pe
7288871400,461995024,1.6,0,0,0,0,pe
2400700115,7805459333,0.6400000000000001,0,0,0,0,pe
7805459333,7805459334,0.6400000000000001,0,0,0,0,pe
7805459334,1640461583,0.6400000000000001,0,0,0,0,pe
1640461583,2513550414,0.6400000000000001,0,0,0,0,pe
2513550414,2513550406,0.6400000000000001,0,0,0,0,pe
2513550406,9167778403,0.6400000000000001,0,0,0,0,pe
9167778403,2400700112,0.6400000000000001,0,0,0,0,pe
2400700112,1640461612,0.6400000000000001,0,0,0,0,pe
1640461612,2400700135,0.6400000000000001,0,0,0,0,pe
2400700135,7805459335,0.6400000000000001,0,0,0,0,pe
7805459335,6076845981,0.6400000000000001,0,0,0,0,pe
6076845981,2400700151,0.6400000000000001,0,0,0,0,pe
2400700151,6076848291,0.6400000000000001,0,0,0,0,pe
6076848291,4640724765,0.6400000000000001,0,0,0,0,pe
4640724765,8005308536,0.6400000000000001,0,0,0,0,pe
8005308536,9167778402,0.6400000000000001,0,0,0,0,pe
9167778402,1677800934,0.6400000000000001,0,0,0,0,pe
1677800934,9167778397,0.6400000000000001,0,0,0,0,pe
9167778397,1640461608,0.6400000000000001,0,0,0,0,pe
1640461608,4640724755,0.6400000000000001,0,0,0,0,pe
4640724755,587969,0.6400000000000001,0,0,0,0,pe
587969,2400700091,0.6400000000000001,0,0,0,0,pe
2400700091,2400700139,0.6400000000000001,0,0,0,0,pe
2400700139,8672219566,0.6400000000000001,0,0,0,0,pe
8672219566,2400700153,0.6400000000000001,0,0,0,0,pe
25783549,8005375926,0.6400000000000001,0,0,0,0,pe
8005375926,4443041559,0.6400000000000001,0,0,0,0,pe
4443041559,25783551,0.6400000000000001,0,0,0,0,pe
25783551,5448922665,0.6400000000000001,0,0,0,0,pe
5448922665,9499142862,0.6400000000000001,0,0,0,0,pe
9499142862,4217901993,0.6400000000000001,0,0,0,0,pe
