id,name,lat,lon,tipo,accessibility_score,flood_risk
osm_5168103239,OSM Node 5168103239,-23.5420098,-46.6172763,onibus,0.5,0
osm_5168103240,OSM Node 5168103240,-23.5444349,-46.6229422,onibus,0.5,0
osm_5173052045,OSM Node 5173052045,-23.5379334,-46.6322907,onibus,0.5,0
osm_5173202077,OSM Node 5173202077,-23.535479,-46.6351111,onibus,0.5,0
osm_5180925489,OSM Node 5180925489,-23.5377704,-46.6146886,onibus,0.5,0
osm_5180925491,OSM Node 5180925491,-23.5397534,-46.6115477,onibus,0.5,0
osm_5180925494,OSM Node 5180925494,-23.5420083,-46.6128432,onibus,0.5,0
osm_5180925496,OSM Node 5180925496,-23.5426517,-46.6155495,onibus,0.5,0
osm_5189267226,OSM Node 5189267226,-23.536499,-46.6336991,onibus,0.5,0
osm_5218620731,OSM Node 5218620731,-23.5423431,-46.6355973,onibus,0.5,0
osm_5218620733,OSM Node 5218620733,-23.5421301,-46.6358249,onibus,0.5,0
osm_5218620759,OSM Node 5218620759,-23.5415578,-46.6353304,onibus,0.5,0
osm_5218620760,OSM Node 5218620760,-23.5418399,-46.6350945,onibus,0.5,0
osm_5219598150,OSM Node 5219598150,-23.5419024,-46.6346985,onibus,0.5,0
osm_5220249161,OSM Node 5220249161,-23.5412235,-46.6349406,onibus,0.5,0
osm_5222153400,OSM Node 5222153400,-23.5429453,-46.6367346,onibus,0.5,0
osm_5232877808,OSM Node 5232877808,-23.5243403,-46.6252735,onibus,0.5,0
osm_5232877810,OSM Node 5232877810,-23.5245345,-46.6255258,onibus,0.5,0
osm_5232877811,OSM Node 5232877811,-23.5205985,-46.6239594,onibus,0.5,0
osm_5232877812,OSM Node 5232877812,-23.5201013,-46.6239735,onibus,0.5,0
osm_5233398676,OSM Node 5233398676,-23.517773,-46.6298631,onibus,0.5,0
osm_5233398679,OSM Node 5233398679,-23.5159499,-46.6297732,onibus,0.5,0
osm_5233398695,OSM Node 5233398695,-23.5218826,-46.6303208,onibus,0.5,0
osm_5241620307,OSM Node 5241620307,-23.5453743,-46.6491844,onibus,0.5,0
osm_5241623054,Parada Caio Prado,-23.5481195,-46.6493503,onibus,0.5,0
osm_5250620643,OSM Node 5250620643,-23.5443822,-46.6477035,onibus,0.5,0
osm_5252539255,OSM Node 5252539255,-23.5434172,-46.6478851,onibus,0.5,0
osm_5253870081,OSM Node 5253870081,-23.5437842,-46.6487647,onibus,0.5,0
osm_5254243270,OSM Node 5254243270,-23.5245192,-46.6263784,onibus,0.5,0
