from,to,tempo_min,transferencia,escada,calcada_ruim,risco_alag,modo
840002046,8412910,2.0,0,0,0,0,onibus
8412910,8412904,2.0,0,0,0,0,onibus
8412904,8412907,2.0,0,0,0,0,onibus
8412907,8412906,2.0,0,0,0,0,onibus
8412906,840002051,2.0,0,0,0,0,onibus
840002051,840000676,2.0,0,0,0,0,onibus
840000676,840000583,2.0,0,0,0,0,onibus
840000583,840000581,2.0,0,0,0,0,onibus
840000581,840003931,2.0,0,0,0,0,onibus
840003931,840003932,2.0,0,0,0,0,onibus
840003932,840003934,2.0,0,0,0,0,onibus
840003934,840003941,2.0,0,0,0,0,onibus
840003941,840004390,2.0,0,0,0,0,onibus
840004390,830004435,2.0,0,0,0,0,onibus
830004435,830004437,2.0,0,0,0,0,onibus
830004437,8313650,2.0,0,0,0,0,onibus
8313650,830004092,2.0,0,0,0,0,onibus
830004092,830004094,2.0,0,0,0,0,onibus
830004094,830004095,2.0,0,0,0,0,onibus
830004095,830004098,2.0,0,0,0,0,onibus
830004098,830004124,2.0,0,0,0,0,onibus
830004124,830004122,2.0,0,0,0,0,onibus
830004122,830004120,2.0,0,0,0,0,onibus
830004120,830004117,2.0,0,0,0,0,onibus
830004117,830004114,2.0,0,0,0,0,onibus
830004114,830004112,2.0,0,0,0,0,onibus
830004112,830004111,4.0,0,0,0,0,onibus
620003221,620003225,1.0,0,0,0,0,onibus
620003225,620003226,2.0,0,0,0,0,onibus
620003226,6201782,1.0,0,0,0,0,onibus
6201782,620003193,2.0,0,0,0,0,onibus
620003193,620003207,2.0,0,0,0,0,onibus
620003207,620003204,1.0,0,0,0,0,onibus
620003204,6201772,2.0,0,0,0,0,onibus
6201772,620003201,1.0,0,0,0,0,onibus
620003201,620003199,2.0,0,0,0,0,onibus
620003199,620003197,2.0,0,0,0,0,onibus
620003197,620003097,1.0,0,0,0,0,onibus
620003097,620003098,2.0,0,0,0,0,onibus
620003098,620003099,1.0,0,0,0,0,onibus
620003099,620003102,2.0,0,0,0,0,onibus
620003102,620003105,2.0,0,0,0,0,onibus
620003105,620003106,1.0,0,0,0,0,onibus
620003106,620003112,2.0,0,0,0,0,onibus
620003112,620003267,1.0,0,0,0,0,onibus
620003267,620003268,2.0,0,0,0,0,onibus
620003268,410003270,2.0,0,0,0,0,onibus
410003270,410003280,1.0,0,0,0,0,onibus
410003280,4101209,2.0,0,0,0,0,onibus
4101209,410003283,1.0,0,0,0,0,onibus
410003283,410003590,2.0,0,0,0,0,onibus
410003590,410003581,2.0,0,0,0,0,onibus
410003581,410003580,1.0,0,0,0,0,onibus
410003580,4114572,2.0,0,0,0,0,onibus
4114572,410003578,1.0,0,0,0,0,onibus
410003578,410003576,2.0,0,0,0,0,onibus
410003576,410003573,2.0,0,0,0,0,onibus
410003573,410003437,1.0,0,0,0,0,onibus
410003437,410003396,2.0,0,0,0,0,onibus
410003396,6413982,1.0,0,0,0,0,onibus
6413982,110003393,2.0,0,0,0,0,onibus
110003393,110003391,2.0,0,0,0,0,onibus
110003391,110003389,1.0,0,0,0,0,onibus
110003389,110003387,2.0,0,0,0,0,onibus
110003387,290003359,1.0,0,0,0,0,onibus
290003359,6415339,2.0,0,0,0,0,onibus
6415339,640000471,2.0,0,0,0,0,onibus
640000471,640000469,1.0,0,0,0,0,onibus
640000469,640000468,2.0,0,0,0,0,onibus
640000468,6413475,1.0,0,0,0,0,onibus
6413475,6415347,2.0,0,0,0,0,onibus
6415347,6415301,2.0,0,0,0,0,onibus
6415301,6415311,1.0,0,0,0,0,onibus
6415311,6415281,2.0,0,0,0,0,onibus
6415281,6413480,1.0,0,0,0,0,onibus
6413480,640000452,2.0,0,0,0,0,onibus
640000452,6413497,2.0,0,0,0,0,onibus
6413497,640000506,1.0,0,0,0,0,onibus
640000506,6415321,2.0,0,0,0,0,onibus
6415321,6415298,4.0,0,0,0,0,onibus
6415298,640000436,1.0,0,0,0,0,onibus
640000436,640000433,2.0,0,0,0,0,onibus
640000433,6415317,1.0,0,0,0,0,onibus
6415317,6413617,2.0,0,0,0,0,onibus
6413617,640000504,1.0,0,0,0,0,onibus
640000504,640000505,2.0,0,0,0,0,onibus
640000505,640000451,1.0,0,0,0,0,onibus
640000451,6415292,2.0,0,0,0,0,onibus
6415292,640000449,2.0,0,0,0,0,onibus
640000449,6413473,1.0,0,0,0,0,onibus
6413473,6413476,2.0,0,0,0,0,onibus
6413476,640000470,1.0,0,0,0,0,onibus
640000470,6415337,2.0,0,0,0,0,onibus
6415337,6415338,1.0,0,0,0,0,onibus
6415338,290003292,2.0,0,0,0,0,onibus
290003292,1114016,2.0,0,0,0,0,onibus
1114016,110003388,1.0,0,0,0,0,onibus
110003388,110003390,2.0,0,0,0,0,onibus
110003390,110003392,1.0,0,0,0,0,onibus
110003392,410003394,2.0,0,0,0,0,onibus
410003394,410003395,1.0,0,0,0,0,onibus
410003395,410003436,2.0,0,0,0,0,onibus
410003436,410003574,2.0,0,0,0,0,onibus
410003574,410003575,1.0,0,0,0,0,onibus
410003575,410003577,2.0,0,0,0,0,onibus
410003577,4114571,1.0,0,0,0,0,onibus
4114571,410003579,2.0,0,0,0,0,onibus
410003579,410003582,1.0,0,0,0,0,onibus
410003582,4114465,2.0,0,0,0,0,onibus
4114465,410003281,2.0,0,0,0,0,onibus
410003281,4114513,1.0,0,0,0,0,onibus
4114513,410003296,2.0,0,0,0,0,onibus
410003296,410003297,1.0,0,0,0,0,onibus
410003297,4114497,2.0,0,0,0,0,onibus
4114497,410003271,1.0,0,0,0,0,onibus
410003271,620003269,2.0,0,0,0,0,onibus
620003269,620003266,1.0,0,0,0,0,onibus
620003266,620003264,2.0,0,0,0,0,onibus
620003264,620003265,2.0,0,0,0,0,onibus
620003265,620003113,1.0,0,0,0,0,onibus
620003113,6201708,2.0,0,0,0,0,onibus
6201708,620003108,1.0,0,0,0,0,onibus
620003108,620003107,2.0,0,0,0,0,onibus
620003107,620003104,1.0,0,0,0,0,onibus
620003104,620003103,2.0,0,0,0,0,onibus
620003103,620003101,2.0,0,0,0,0,onibus
620003101,620003100,1.0,0,0,0,0,onibus
620003100,620003194,2.0,0,0,0,0,onibus
620003194,6201715,1.0,0,0,0,0,onibus
6201715,6201716,2.0,0,0,0,0,onibus
6201716,620003198,1.0,0,0,0,0,onibus
620003198,620003200,2.0,0,0,0,0,onibus
620003200,620003202,2.0,0,0,0,0,onibus
620003202,6201773,1.0,0,0,0,0,onibus
6201773,620003203,2.0,0,0,0,0,onibus
620003203,620003206,1.0,0,0,0,0,onibus
620003206,620003295,2.0,0,0,0,0,onibus
620003295,6201777,1.0,0,0,0,0,onibus
6201777,620003227,2.0,0,0,0,0,onibus
620003227,620003224,2.0,0,0,0,0,onibus
620003224,620003221,4.0,0,0,0,0,onibus
830004022,8313617,1.0,0,0,0,0,onibus
8313617,830004023,2.0,0,0,0,0,onibus
830004023,830004024,1.0,0,0,0,0,onibus
830004024,8313615,2.0,0,0,0,0,onibus
8313615,830004027,1.0,0,0,0,0,onibus
830004027,8313358,2.0,0,0,0,0,onibus
8313358,830004028,1.0,0,0,0,0,onibus
830004028,830004071,2.0,0,0,0,0,onibus
830004071,830004074,1.0,0,0,0,0,onibus
830004074,830004077,2.0,0,0,0,0,onibus
830004077,830004076,2.0,0,0,0,0,onibus
830004076,830004079,1.0,0,0,0,0,onibus
830004079,830004082,2.0,0,0,0,0,onibus
830004082,830003997,1.0,0,0,0,0,onibus
830003997,830003995,2.0,0,0,0,0,onibus
830003995,830003994,1.0,0,0,0,0,onibus
830003994,840003992,2.0,0,0,0,0,onibus
840003992,840000577,1.0,0,0,0,0,onibus
840000577,840000579,2.0,0,0,0,0,onibus
840000579,840000580,2.0,0,0,0,0,onibus
840000580,840000582,1.0,0,0,0,0,onibus
840000582,840000584,2.0,0,0,0,0,onibus
840000584,840000585,1.0,0,0,0,0,onibus
840000585,840000594,2.0,0,0,0,0,onibus
840000594,710000596,1.0,0,0,0,0,onibus
710000596,710000599,2.0,0,0,0,0,onibus
710000599,710000600,1.0,0,0,0,0,onibus
710000600,710000567,2.0,0,0,0,0,onibus
710000567,7113176,1.0,0,0,0,0,onibus
7113176,710000602,2.0,0,0,0,0,onibus
710000602,710000603,2.0,0,0,0,0,onibus
710000603,710000604,1.0,0,0,0,0,onibus
710000604,710000605,2.0,0,0,0,0,onibus
710000605,710000639,1.0,0,0,0,0,onibus
710000639,710000610,4.0,0,0,0,0,onibus
710000610,710000974,1.0,0,0,0,0,onibus
710000974,710000975,2.0,0,0,0,0,onibus
710000975,710000976,2.0,0,0,0,0,onibus
710000976,7113167,2.0,0,0,0,0,onibus
7113167,710000977,2.0,0,0,0,0,onibus
710000977,7113178,2.0,0,0,0,0,onibus
7113178,710000978,1.0,0,0,0,0,onibus
710000978,710000598,2.0,0,0,0,0,onibus
710000598,710000597,2.0,0,0,0,0,onibus
710000597,840000595,2.0,0,0,0,0,onibus
