id,name,lat,lon,tipo
109731,"Pça. Tristão Da Cunha, 86",-23.568991,-46.578059,onibus
109733,"Av. Salim Farah Maluf, 3200",-23.557134,-46.57783,onibus
109738,"R. Campo Largo, 475",-23.567385,-46.5811,onibus
109739,"R. Dr. José Higino, 78",-23.568491,-46.581779,onibus
109740,"R. Lituânia, 330",-23.563491,-46.588985,onibus
109741,"R. Lituânia, 613",-23.564467,-46.586589,onibus
109749,"R. Barretos, 581",-23.565979,-46.585566,onibus
109751,"R. Corumbaíba, 728",-23.571378,-46.576358,onibus
109754,"Av. Luca, 861",-23.569279,-46.557136,onibus
109759,"R. Pirassununga, 1313",-23.567859,-46.580223,onibus
109761,"R. Pirajá, 347",-23.562059,-46.575916,onibus
109762,"R. Corumbaíba, 238",-23.569985,-46.576826,onibus
109765,"Av. Salim Farah Maluf, 2100",-23.552232,-46.577653,onibus
109773,"R. Siqueira Bueno, 1916",-23.552927,-46.585032,onibus
109775,"R. Sebastião Barbosa, 37",-23.55287,-46.574698,onibus
109776,"Pça. Ituzaingo, 10",-23.55276,-46.572316,onibus
109777,"R. Pirassununga, 1071",-23.565928,-46.580013,onibus
109778,"Av. Salim Farah Maluf, 3117",-23.556718,-46.577175,onibus
109784,"R. Lituânia, 566",-23.564386,-46.587162,onibus
109785,"R. Guandu, 8",-23.556935,-46.569623,onibus
210999,"R. Livi, 473",-23.547121,-46.700656,onibus
211000,"R. Livi, 346",-23.545968,-46.700768,onibus
211121,"R. Pio Xi, 1480",-23.536022,-46.714262,onibus
211122,"R. S. Domingos Savio, 160",-23.536739,-46.713576,onibus
211147,"Av. Arruda Botelho, 255",-23.550196,-46.717396,onibus
211148,"Av. Arruda Botelho, 595",-23.552927,-46.71884,onibus
211157,"R. Da. Elisa Moraes Mendes, 1199",-23.551962,-46.707761,onibus
211191,"Av. S. Gualter, 1850",-23.551015,-46.709414,onibus
211193,"R. Da. Elisa Moraes Mendes, 1280",-23.552654,-46.708362,onibus
211227,"Av. Pe. Pereira De Andrade, 100",-23.538171,-46.719704,onibus
211241,"Av. Dra. Ruth Cardoso, 4797",-23.551839,-46.722569,onibus
211256,"R. Dr. Alberto Seabra, 402",-23.547587,-46.708644,onibus
211262,"R. Dr. Alberto Seabra, 1175",-23.541231,-46.705945,onibus
211269,"Av. Pedroso De Moraes, 2538",-23.555119,-46.705697,onibus
211270,"Av. Arruda Botelho, 262",-23.5503,-46.71789,onibus
211273,"R. Nazareth Paulista, 320",-23.545726,-46.69938,onibus
211274,"R. Nazareth Paulista, 223",-23.5456,-46.700349,onibus
211275,"Av. Prof. Fonseca Rodrigues, 689",-23.549045,-46.714419,onibus
211276,"R. Das Tabocas, 202",-23.550716,-46.697987,onibus
211278,"R. Pio Xi, 2038",-23.54038,-46.713928,onibus
211279,"R. Ibiraçu, 179",-23.542689,-46.700338,onibus
301075,"Estr. Cel. José Gladiador, 400",-23.442484,-46.796363,onibus
301087,"Av. Felippo Sturba, 685",-23.440339,-46.790203,onibus
301567,"R. Diego Velasquez, 194",-23.431892,-46.789126,onibus
301573,"R. Nestor Gomes, 105",-23.431512,-46.793126,onibus
301578,"R. Alberto Alvarez, 189",-23.430024,-46.794481,onibus
301646,"R. Itabira Do Mato, 53",-23.446529,-46.803318,onibus
301671,"Av. Da Solidariedade, 23",-23.43718,-46.805737,onibus
301672,"Av. Da Solidariedade, 111",-23.43923,-46.807039,onibus
